Nome da Praia,Latitude,Longitude
"Praia Mole, Florianópolis, Brasil",-27.60313285,-48.43333368307114
"Praia da Joaquina, Florianópolis, Brasil",-27.6343625,-48.45429512946963
"Praia do Campeche, Florianópolis, Brasil",-27.6859258,-48.480378675329874
"Praia da Barra da Lagoa, Florianópolis, Brasil",-27.571223500000002,-48.42702777274857
"Praia do Moçambique, Florianópolis, Brasil",-27.52414305,-48.41721177305301
"Praia dos Ingleses, Florianópolis, Brasil",-27.4294468,-48.39653382387182
"Praia do Santinho, Florianópolis, Brasil",-27.45836125,-48.375006322307144
"Praia Brava, Florianópolis, Brasil",-27.3976128,-48.4158254
"Praia do Forte, Florianópolis, Brasil",-27.43514855,-48.519847961509825
"Praia da Galheta, Florianópolis, Brasil",-27.593526750000002,-48.42691538432678
"Praia da Armação, Florianópolis, Brasil",-27.73603515,-48.50790320817168
"Praia do Pântano do Sul, Florianópolis, Brasil",-27.7854502,-48.525685589307685
"Praia do Matadeiro, Florianópolis, Brasil",-27.7543668,-48.49895037286059
"Praia da Daniela, Florianópolis, Brasil",-27.4488738,-48.538375804797624
"Praia do Saquinho, Florianópolis, Brasil",-27.5186242,-48.442075872038956
"Praia do Rio Tavares, Florianópolis, Brasil",-27.6546125,-48.46937433631417
"Praia da Cachoeira do Bom Jesus, Florianópolis, Brasil",-27.41887745,-48.43263067959894
"Praia do Naufragados, Florianópolis, Brasil",-27.82678673611594,-48.5439241737225
"Praia da Solidão, Florianópolis, Brasil",-27.79428295,-48.53358103308909
